instname,city,state,zip
EDP School of Computer Programming,Brooklyn,NY,11235
International Academy of Style,Reno,NV,89509-3450
Toni & Guy Hairdressing Academy-Albuquerque,Albuquerque,NM,87106
National Career Institute,East Orange,NJ,7018
Park West Barber School,Durham,NC,27701
The Salon Professional Academy-Great Falls,Great Falls,MT,59405
Atlanta Beauty Academy,Doraville,GA,30340
Bitterroot School of Cosmetology,Hamilton,MT,59840
Mississippi School of Therapeutic Massage,Jackson,MS,39216
Transformed Barber and Cosmetology Academy,Kansas City,MO,64137
City Vision College,Kansas City,MO,64109-1438
American College of Technology,Saint Joseph,MO,64506
Avalon School of Cosmetology,Worthington,MN,56187
Allure School of Cosmetology,Red Wing,MN,55066
CenterPoint Massage and Shiatsu Therapy School and Clinic,St Louis Park,MN,55416
Marketti Academy of Cosmetology,Waterford,MI,48329
L'esprit Academy,Livonia,MI,48150
Southern Worcester County Regional Voc School District,Charlton,MA,1507
Blackstone Valley Vocational Regional School District,Upton,MA,1568
My-Le's Beauty College,Gretna,LA,70056
A & W Healthcare Educators,New Orleans,LA,70122
Eric Fisher Academy,Wichita,KS,67212
The Salon Professional Academy-Anderson,Anderson,IN,46013
Aveda Fredric's Institute-Indianapolis,Indianapolis,IN,46250
Innovations Design Academy,Canton,IL,61520
Paul Mitchell the School-Normal,Normal,IL,61761
Citi College of Allied Health,Chicago,IL,60602
Midwestern Career College,Chicago,IL,60606
Americare Institute,Hanover Park,IL,60133
Ambria College of Nursing,Hoffman Estates,IL,60192
Zarem-Golde ORT Technical Institute,Skokie,IL,60077
Master Educators Beauty School,Twin Falls,ID,83301-4118
D & L Academy of Hair Design,Twin Falls,ID,83301
Pacific Rim Christian College,Honolulu,HI,96819
New Hope Christian College,Honolulu,HI,96819-2228
The Process Institute of Cosmetology,Lawrenceville,GA,30043
Profile Institute of Barber-Styling,Atlanta,GA,30315
Kevosnik School of Hair Design,Dublin,GA,31021
The Salon Professional Academy-The Villages,The Villages,FL,32162
The Salon Professional Academy-Gainesville,Gainesville,FL,32607
The Salon Professional Academy-Tampa,Tampa,FL,33624
Aviation Institute of Maintenance-Orlando,Orlando,FL,32803
University of Fort Lauderdale,Lauderhill,FL,33313
American Academy of Cosmetology,Orange Park,FL,32065
Immokalee Technical Center,Immokalee,FL,34142
Walton Career Development Center,DeFuniak Springs,FL,32433
International B Naturale Beauty School,Lauderdale Lakes,FL,33311
Florida School of Traditional Midwifery,Gainesville,FL,32601
International Institute of Cosmetology,Wethersfield,CT,6109
European Academy of Cosmetology and Hairdressing,Guilford,CT,06437-2319
Esthetiques Cosmetology Institute,Temecula,CA,92591
Angeles Institute,Lakewood,CA,90712
LA Barber College,Los Angeles,CA,90013
Angeles College of Nursing,Los Angeles,CA,90010
Angeles College,Los Angeles,CA,90010
Hollywood Beauty College,Stockton,CA,95210
Academy for Jewish Religion-California,Los Angeles,CA,90024
Franklin Career College,Ontario,CA,91761
Beyond 21st Century Beauty Academy,Santa Fe Springs,CA,90670
San Diego Culinary Institute,San Diego,CA,91941
Modern Institute of Technology,Oxnard,CA,93036
Horizon College San Diego,San Diego,CA,92111-2622
Universal Barber College,Phoenix,AZ,85007
Washington Barber College Inc,Little Rock,AR,72209
Remington College-Orlando Nursing,Lake Mary,FL,32746
Remington College of Nursing Orlando,Lake Mary,FL,32746
Remington College-Columbia,Columbia,SC,29210
Remington College-Columbia Campus,Columbia,SC,29210
Chamberlain College of Nursing-Jacksonville Campus,Jacksonville,FL,32256
Chamberlain College of Nursing-Florida,Jacksonville,FL,32256
Carrington College–Reno,Reno,NV,89511
Carrington College-Reno,Reno,NV,89511
Carrington College–Las Vegas,Las Vegas,NV,89119-1642
Carrington College-Las Vegas,Las Vegas,NV,89119
