player,team,conference
Kevin Richardson II,Arkansas,SEC
Mike Knoll,Boston College,ACC
Shane Commodore,West Virginia,Big 12
Byron Pringle,Kansas State,Big 12
Frankie Luvu,Washington State,Pac-12
Matt Davis,SMU,American Athletic
Adam Mitcheson,Buffalo,Mid-American
Gemonta Jackson,Old Dominion,Conference USA
Cameron Posey,Purdue,Big Ten
Cortez Broughton,Cincinnati,American Athletic
David Hood,Temple,American Athletic
Chris Melton,Middle Tennessee,Conference USA
Aarion Penton,Missouri,SEC
Tyler McCloskey,Houston,American Athletic
Wes Farnsworth,Nevada,Mountain West
Howard Wilson,Houston,American Athletic
Drew Before,Washington,Pac-12
Dorian Baker,Kentucky,SEC
Jordan Westerkamp,Nebraska,Big Ten
Ephraim Kitchen,Louisiana Tech,Conference USA
Dare Ogunbowale,Wisconsin,Big Ten
Bryce Peters,Colorado State,Mountain West
" Team",Michigan State,Big Ten
Hardy Nickerson,Illinois,Big Ten
Daniel Hurd,Memphis,American Athletic
Chandon Sullivan,Georgia State,Sun Belt
Luke Falk,Washington State,Pac-12
Chris Montgomery,Charlotte,Conference USA
Lee Walker,Colorado,Pac-12
Myron Gailliard,SMU,American Athletic
Colin Downing,Iowa State,Big 12
Jerel Morrow,Oklahoma State,Big 12
Carlos Davis,Ole Miss,SEC
Deon Watson,Idaho,Sun Belt
Marquez McNair,UT San Antonio,Conference USA
Dameon Baber,Nevada,Mountain West
Turner Adams,Missouri,SEC
Nate Gaines,UT San Antonio,Conference USA
Eric Cooper,Central Michigan,Mid-American
Roquan Smith,Georgia,SEC
Derrick Mitchell Jr.,Iowa,Big Ten
Nick Stevens,Colorado State,Mountain West
Benito Jones,Ole Miss,SEC
Dakari Monroe,San José State,Mountain West
Josh Marshall,Troy,Sun Belt
Jordan Evans,Oklahoma,Big 12
Linell Bonner,Houston,American Athletic
Jalen Dalton,North Carolina,ACC
Zach Oakley,Central Michigan,Mid-American
Scott Quessenberry,UCLA,Pac-12
Cory Morrow,Akron,Mid-American
Matt Haack,Arizona State,Pac-12
LJ Scott,Louisville,ACC
John Ursua,Hawai'i,Mountain West
Kenny Potter,San José State,Mountain West
D.J. Killings,UCF,American Athletic
Jaire Alexander,Louisville,ACC
Jordan Mittie,Texas State,Sun Belt
Sherman Badie,Tulane,American Athletic
Emilio Nadelman,South Florida,American Athletic
Justin Martin,Tennessee,SEC
Aaron Jones,UTEP,Conference USA
Tyrone Williams,South Alabama,Sun Belt
Spencer Smith,Memphis,American Athletic
James Clark,Ohio State,Big Ten
Drew Lock,Missouri,SEC
Earl Moore,Toledo,Mid-American
Isaiah Brown,New Mexico,Mountain West
Rashan Gary,Michigan,Big Ten
Matt Colburn,Wake Forest,ACC
Jerrad Ward,Florida Atlantic,Conference USA
Edgar Cerenord,Duke,ACC
Zac Veatch,Oklahoma State,Big 12
Rashod Berry,Ohio State,Big Ten
George Aston,Pittsburgh,ACC
C.J. Perry,Southern Mississippi,Conference USA
Russell Williams Jr.,Hawai'i,Mountain West
Cory Young,Boise State,Mountain West
Preston Heard,Baylor,Big 12
Darius Roper,Georgia Southern,Sun Belt
Artavis Scott,Clemson,ACC
Khantrell Burden,Florida Atlantic,Conference USA
Jhajuan Seales,Oklahoma State,Big 12
Milton Revell,South Alabama,Sun Belt
Zach Allen,Boston College,ACC
Devontre Parnell,Southern Mississippi,Conference USA
Antonio Shenault,Minnesota,Big Ten
Jordan Reid,Ohio,Mid-American
Chris Calhoun,Wake Forest,ACC
Todd Boyd,Georgia State,Sun Belt
Troy Henderson,Syracuse,ACC
DeVon Edwards,Duke,ACC
Dymonte Thomas,Michigan,Big Ten
Larry Bryant,Tulane,American Athletic
Jarred Gipson,Nevada,Mountain West
Austin Guido,Western Michigan,Mid-American
Rico Bussey Jr.,North Texas,Conference USA
Robert Windsor,Penn State,Big Ten
" Team",Boise State,Mountain West
Michael Adkins II,Colorado,Pac-12
KaVontae Turpin,TCU,Big 12
Leighton Vander Esch,Boise State,Mountain West
Jesse Kroll,Central Michigan,Mid-American
Daniel Jones,Duke,ACC
Tony Mekari,California,Pac-12
Kash Daniel,Kentucky,SEC
Terry Googer,South Carolina,SEC
Colborn Couchman,Kansas State,Big 12
Kyle Kramer,Miami (OH),Mid-American
Allenzae Staggers,Southern Mississippi,Conference USA
Brad Wall,Mississippi State,SEC
Dexter Williams,Notre Dame,FBS Independents
Moe Neal,Syracuse,ACC
Jordan Butler,Miami,ACC
Lucas Wacha,Wyoming,Mountain West
Jalen Tabor,Florida,SEC
Shemarr Robinson,Tulsa,American Athletic
Paul Harris,Hawai'i,Mountain West
Will Geary,Kansas State,Big 12
D'Ernest Johnson,South Florida,American Athletic
Zac Veatch,Oklahoma State,Big 12
Eric Williams,Colorado State,Mountain West
Adekunle Ayinde,Minnesota,Big Ten
Travis Phillips,East Carolina,American Athletic
Timmy Hernandez,Oregon State,Pac-12
Carlos Pickett,Kent State,Mid-American
Brandon Sowards,Michigan State,Big Ten
Dominic Collins,Missouri,SEC
Tanner Balderree,BYU,FBS Independents
Kyle Cerge-Henderson,Georgia Tech,ACC
Randall Goforth,UCLA,Pac-12
James Johnson,Arizona State,Pac-12
Irvine Paye,Penn State,Big Ten
Josh Webb,Navy,American Athletic
Donnel Pumphrey,San Diego State,Mountain West
Gerald Holmes,Michigan State,Big Ten
Jamal Ellis,Fresno State,Mountain West
CJ Windham,Middle Tennessee,Conference USA
Treston Decoud,Oregon State,Pac-12
Trey Martin,Rice,Conference USA
Ironhead Gallon,Georgia Southern,Sun Belt
Darrell Henderson,Memphis,American Athletic
Andre Hunt,Rutgers,Big Ten
Jalen Nixon,Louisiana,Sun Belt
Matt Nelson,Iowa,Big Ten
John Rachal,Akron,Mid-American
Jeff Smith,Boston College,ACC
Shalom Luani,Washington State,Pac-12
" Team",Texas Tech,Big 12
Nik Needham,UTEP,Conference USA
Corey Davis,Western Michigan,Mid-American
D.J. Smith,South Carolina,SEC
Sam Browning,Eastern Michigan,Mid-American
Austin Parker,Duke,ACC
Jordan Hogue,Ball State,Mid-American
Cloves Campbell,Georgia State,Sun Belt
Cameron Sutton,Tennessee,SEC
Jelani Carter,Old Dominion,Conference USA
Akilian Butler,Boise State,Mountain West
Willie Johnson,Marshall,Conference USA
Toks Akinribade,Iowa,Big Ten
Jeremy McNichols,Boise State,Mountain West
Jake Suder,Bowling Green,Mid-American
Nick Ingram,Louisiana Monroe,Sun Belt
Steve Ishmael,Syracuse,ACC
Bailey McElwain,Vanderbilt,SEC
Kell Walker,Army,FBS Independents
Tyshawn Brown,Middle Tennessee,Conference USA
Ben Hicks,SMU,American Athletic
Logan Laurent,UMass,FBS Independents
Marcus Parker,Rutgers,Big Ten
Dillon Alexander,Michigan State,Big Ten
Greg Kuhar,Northwestern,Big Ten
Corn Elder,Miami,ACC
Stephaun Marshall,Temple,American Athletic
Rushel Shell,West Virginia,Big 12
Zack Greenlee,UTEP,Conference USA
Arkeel Newsome,Connecticut,American Athletic
Erick Smith,Ohio State,Big Ten
Denzel Feaster,Kansas,Big 12
Daniel Brooks,Oklahoma,Big 12
Steven Claude,Wake Forest,ACC
Jeremiah Pritchard,Hawai'i,Mountain West
Maurice Thomas,Miami (OH),Mid-American
Alex Pace,Cincinnati,American Athletic
Mike Ramsay,Duke,ACC
Jay Hayes,Notre Dame,FBS Independents
McKinley Whitfield,Tulsa,American Athletic
Hasaan Klugh,Charlotte,Conference USA
Adam Buirge,Northern Illinois,Mid-American
Anthony Wyche,North Texas,Conference USA
Ulric Jones,South Carolina,SEC
Noah Brown,Ohio State,Big Ten
Calvin Throckmorton,Oregon,Pac-12
Chris Murray,Arkansas State,Sun Belt
Jakobi Meyers,NC State,ACC
Dillon Stoner,Oklahoma State,Big 12
Jerry McBride III,Bowling Green,Mid-American
Trey Enterline,North Texas,Conference USA
Christian Rector,USC,Pac-12
Wyatt Pfeifer,Western Michigan,Mid-American
Dameon Gamblin,New Mexico,Mountain West
Jalen Greene,USC,Pac-12
Terry Juniel,UTEP,Conference USA
Dontrell Nelson,Memphis,American Athletic
" Team",Mississippi State,SEC
Matt Otwinowski,Buffalo,Mid-American
Preston Williams,Tennessee,SEC
Mitch Lochbihler,Kansas State,Big 12
Anthony D. Taylor,Texas State,Sun Belt
Kennedy McKoy,West Virginia,Big 12
Tanner Carew,Oregon,Pac-12
Tyre McCants,South Florida,American Athletic
DaQuan Pace,Eastern Michigan,Mid-American
Jordan Roos,Purdue,Big Ten
Rob Thompson,Old Dominion,Conference USA
Gehrig Dieter,Alabama,SEC
Jamal Parker,Kent State,Mid-American
Justin Rogers,UTEP,Conference USA
Cole Murphy,Syracuse,ACC
Tyler O'Connor,Michigan State,Big Ten
Evan Jones,Michigan State,Big Ten
Cameron Batson,Texas Tech,Big 12
Fish Smithson,Kansas,Big 12
Ben DeLuca,Charlotte,Conference USA
Malik McMorris,California,Pac-12
Tre Hartley,San José State,Mountain West
Rashaan Evans,Alabama,SEC
Antoine White,Penn State,Big Ten
Nathan Peterman,Pittsburgh,ACC
Lamar Atkins,Louisville,ACC
Jarius McDade,Nevada,Mountain West
Jazz Peavy,Wisconsin,Big Ten
Sefo Liufau,Colorado,Pac-12
B.J. Emmons,Alabama,SEC
Josh Augusta,Missouri,SEC
Lynx Hawthorne,Baylor,Big 12
Bobby McMillen III,Iowa State,Big 12
Kevin King,Washington,Pac-12
Isaac Holder,Eastern Michigan,Mid-American
Q' Drennan,New Mexico,Mountain West
