player,team,conference
Ben Peterson,Air Force,Mountain West
Christian Parrish,Army,FBS Independents
Sam LaPorta,Iowa,Big Ten
DJ England-Chisolm,Middle Tennessee,Conference USA
Meiko Dotson,Florida State,ACC
Melquise Stovall,Hawai'i,Mountain West
Massimo Biscardi,Coastal Carolina,Sun Belt
Jared Kapisi,BYU,FBS Independents
Brett Seither,Georgia,SEC
Edward Bautista,North Texas,Conference USA
Luke McCaffrey,Nebraska,Big Ten
Will Choloh Jr.,Troy,Sun Belt
Tommy Togiai,Ohio State,Big Ten
Brock Martin,Oklahoma State,Big 12
Roman Wilson,Michigan,Big Ten
Zak Mahannah,Nevada,Mountain West
DeJuan Ellis,Maryland,Big Ten
Conner Olson,Minnesota,Big Ten
Scott Patchan,Colorado State,Mountain West
Alex Palczewski,Illinois,Big Ten
Luke Larsen,East Carolina,American Athletic
Lindell Stone,Virginia,ACC
Gabriel Murphy,North Texas,Conference USA
Ritisoni Fata,Utah State,Mountain West
Gaej Walker,Western Kentucky,Conference USA
Julian Diaz,Nevada,Mountain West
Kenny Yeboah,Ole Miss,SEC
Katravis Marsh,South Florida,American Athletic
Davis Mills,Stanford,Pac-12
B.J. Daniels,UT San Antonio,Conference USA
Hunter Johnson,Northwestern,Big Ten
David Anenih,Houston,American Athletic
Nick Jackson,Virginia,ACC
James Houston IV,Florida,SEC
Courtline Flowers,Louisiana,Sun Belt
Kendric Pryor,Wisconsin,Big Ten
Billy Kemp,Virginia,ACC
Mark Walker,Navy,American Athletic
Brock Purdy,Iowa State,Big 12
Mykael Wright,Oregon,Pac-12
" Team",Pittsburgh,ACC
Brandon Smith,Iowa,Big Ten
Sione Tonga'Uiha,UTEP,Conference USA
Michael Scott,Akron,Mid-American
Hamsah Nasirildeen,Florida State,ACC
J.J. Weaver,Kentucky,SEC
Dimitry Prophete,Florida International,Conference USA
Jarrett Guest,Coastal Carolina,Sun Belt
DJ Schramm,Boise State,Mountain West
Key Lawrence,Tennessee,SEC
Kenderick Marbles,Louisiana Monroe,Sun Belt
Davis Brin,Tulsa,American Athletic
Lawrence Papillon,Marshall,Conference USA
Shaine Hailey,SMU,American Athletic
DaJon Terry,Kansas,Big 12
Eli Stove,Auburn,SEC
Dyjonn Turner,UAB,Conference USA
Austin Riggs,BYU,FBS Independents
Josh Henderson,North Carolina,ACC
Rishard Dames,Florida International,Conference USA
Dalen Morris,Navy,American Athletic
Mustafa Johnson,Colorado,Pac-12
Jake Zimmer,Buffalo,Mid-American
William Bradley-King,Baylor,Big 12
Ryan Graham,Arkansas State,Sun Belt
Brennan Presley,Oklahoma State,Big 12
Luke McCaffrey,Nebraska,Big Ten
Kayvon Thibodeaux,Oregon,Pac-12
Darion Anderson,Georgia Southern,Sun Belt
Reggie Roberson Jr.,SMU,American Athletic
Rocky Lombardi,Michigan State,Big Ten
Isaiah Jacobs,Maryland,Big Ten
Bubba Bolden,Miami,ACC
Makyle Sanders,North Texas,Conference USA
Elijah Mitchell,Louisiana,Sun Belt
Isaac James,Ball State,Mid-American
Malik Antoine,Stanford,Pac-12
Colby Suits,Louisiana Monroe,Sun Belt
Dontye Carriere-Williams,Vanderbilt,SEC
Jairo Faverus,West Virginia,Big 12
Tanner Motz,Western Michigan,Mid-American
Nykeim Johnson,Syracuse,ACC
Ian Shewell,New Mexico,Mountain West
T Lee,Arizona State,Pac-12
Ja'Sir Taylor,Wake Forest,ACC
Henry Katleman,Oregon,Pac-12
" Team",Syracuse,ACC
Monte Turner,UAB,Conference USA
Derick Newton,Kansas State,Big 12
Nick Days,Western Kentucky,Conference USA
Daniel Bellinger,San Diego State,Mountain West
Perris Jones,Virginia,ACC
Christian Tutt,Auburn,SEC
Peyton Hampton,Army,FBS Independents
Blake Haubeil,Ohio State,Big Ten
Bryson Cannon,Eastern Michigan,Mid-American
Chris Olave,Ohio State,Big Ten
Riley Lees,Northwestern,Big Ten
Xavier McIver,East Carolina,American Athletic
Chris Steele,USC,Pac-12
J'Marick Woods,Duke,ACC
Devontay Taylor,Florida State,ACC
Devonte O'Malley,Northern Illinois,Mid-American
Ryan Hanson,Arkansas State,Sun Belt
Rocky Lombardi,Michigan State,Big Ten
De'Corian Clark,UT San Antonio,Conference USA
Thomas Hennigan,Appalachian State,Sun Belt
Chance Coleman,Florida International,Conference USA
Xavier Martin,Texas Tech,Big 12
Naquan Renalds,Marshall,Conference USA
A.J. Davis,Pittsburgh,ACC
Donovan Kaufman,Vanderbilt,SEC
Javon Swinton,Indiana,Big Ten
Kyle Jarvis,New Mexico,Mountain West
Adin Huntington,Kent State,Mid-American
Jeffery Pooler Jr.,West Virginia,Big 12
Cameron Odom,Ohio,Mid-American
Donte Kent,Central Michigan,Mid-American
Ja'Lynn Polk,Texas Tech,Big 12
Eric Munoz,Utah State,Mountain West
Travis Levy,Boston College,ACC
Da'Marcus Johnson,Fresno State,Mountain West
Xavier Restrepo,Miami,ACC
Bryan Cook,Cincinnati,American Athletic
Caden Leggett,Texas Tech,Big 12
Grant Carlson,Boston College,ACC
JahMarae Sheread,Texas State,Sun Belt
Jason Williams,Texas State,Sun Belt
Grant Donaldson,Air Force,Mountain West
Ikenna Enechukwu,Rice,Conference USA
Demick Starling,Virginia,ACC
Jordon Earle,Appalachian State,Sun Belt
Kyle Thompson,Kansas,Big 12
George Georgopoulos,UMass,FBS Independents
Matt Jones,Baylor,Big 12
Ryan Johnson,Stanford,Pac-12
Jerry Fitschen,Akron,Mid-American
Jafar Armstrong,Notre Dame,FBS Independents
Lucas Bacon,Washington State,Pac-12
Jaivian Lofton,Liberty,FBS Independents
Spencer Shrader,South Florida,American Athletic
Jadan Blue,Temple,American Athletic
Marcus McElroy Jr.,Colorado State,Mountain West
Keegan Good,Wake Forest,ACC
Jeremiah Salaam,Kent State,Mid-American
Preston Daniel,Florida State,ACC
Dante Wright,Colorado State,Mountain West
Grant Carlson,Boston College,ACC
Hauati Pututau,Utah,Pac-12
Vonte Davis,Utah,Pac-12
Isaiah Pola-Mao,USC,Pac-12
Rakavian Poydras,Middle Tennessee,Conference USA
Austin Spiewak,Iowa,Big Ten
Keytaon Thompson,Virginia,ACC
Terrion Avery,South Alabama,Sun Belt
Justin Gardner,Kansas State,Big 12
Tre Moore,Georgia State,Sun Belt
Craig Burt Jr.,Western Kentucky,Conference USA
Chase Jones,Western Kentucky,Conference USA
Chris Curry,LSU,SEC
Ricky Person Jr.,NC State,ACC
Amen Ogbongbemiga,Oklahoma State,Big 12
Wylan Free,Fresno State,Mountain West
Tre'von Bradley,Houston,American Athletic
Tavante Beckett,Marshall,Conference USA
LaBronz Davis,Bowling Green,Mid-American
Terrance Dixon,Georgia State,Sun Belt
Jer'Zhan Newton,Illinois,Big Ten
Nate White,Florida International,Conference USA
Jackson Barrow,Toledo,Mid-American
Gerry Bohannon,Baylor,Big 12
Malik Murray,Georgia Southern,Sun Belt
Mark Pope,Miami,ACC
Miller Mosley,Georgia Southern,Sun Belt
Reynard Ellis,Georgia Southern,Sun Belt
Ryan Mcdonald,Cincinnati,American Athletic
LeDarrius Cox,Ole Miss,SEC
Brandon Walters,Army,FBS Independents
Christian Johnstone,Appalachian State,Sun Belt
Marcus Anderson,Georgia State,Sun Belt
Jaylen Kelly-Powell,Akron,Mid-American
Joachim Bangda,Kent State,Mid-American
Wayne Taulapapa,Virginia,ACC
Patrick Rosette,South Alabama,Sun Belt
Layne Hatcher,Arkansas State,Sun Belt
Gabe Jeudy,Vanderbilt,SEC
Henry Chibueze,Liberty,FBS Independents
Ryder Anderson,Ole Miss,SEC
Tre Walker,San José State,Mountain West
Christopher Hinton,Michigan,Big Ten
Zach Fryar,UTEP,Conference USA
Myles Murphy,North Carolina,ACC
Jordan Watkins,Louisville,ACC
Blake Bacevich,Cincinnati,American Athletic
Kejuan Markham,Arizona State,Pac-12
Earl Bostick,Kansas,Big 12
Chris Henderson,South Alabama,Sun Belt
Marcus LaFrance,Middle Tennessee,Conference USA
Jake Stern,Air Force,Mountain West
Jude Kelley,Georgia Tech,ACC
Bryan Bresee,Clemson,ACC
Devin Thomas,Southern Mississippi,Conference USA
Savion Jackson,NC State,ACC
Devon Achane,Texas A&M,SEC
Caden Sterns,Texas,Big 12
Howard Cross III,Notre Dame,FBS Independents
Jordan Lee,Nevada,Mountain West
Na'drian Dizadare,Oklahoma State,Big 12
J'Marick Woods,Duke,ACC
Devin Thomas,Southern Mississippi,Conference USA
Bo Bauer,Notre Dame,FBS Independents
Paul Lawless,Army,FBS Independents
Ja'Quan McMillian,East Carolina,American Athletic
Caleb Tremblay,USC,Pac-12
Jarrian Jones,Florida State,ACC
David Reynolds,Florida International,Conference USA
Zach Breaux,Louisiana Monroe,Sun Belt
Zachary Carter,Florida,SEC
Raashaan Wilkins,Vanderbilt,SEC
Paris Brown,Pittsburgh,ACC
" Team",SMU,American Athletic
Dante Stills,West Virginia,Big 12
Josh Black,Syracuse,ACC
Treven Ma'ae,Oregon,Pac-12
Chaton Mobley,Middle Tennessee,Conference USA
John Rhys Plumlee,Ole Miss,SEC
Collin Larsh,Wisconsin,Big Ten
Charlie Katshir,Penn State,Big Ten
John Chenal,Wisconsin,Big Ten
Calvin Turner,Hawai'i,Mountain West
Ja'Kerrius Wyatt,Middle Tennessee,Conference USA
Elorm Lumor,Rutgers,Big Ten
Shamar Garrett,San José State,Mountain West
Isaiah Hamilton,San José State,Mountain West
Tyleek Collins,UNLV,Mountain West
Snoop Conner,Ole Miss,SEC
Jordan Simmons,Michigan State,Big Ten
Greg Latushko,Coastal Carolina,Sun Belt
" Team",Tulane,American Athletic
De'Andre Williams,Tulane,American Athletic
Michael Spencer,Vanderbilt,SEC
Jordan Travis,Florida State,ACC
Tico Brown,Central Michigan,Mid-American
" Team",Georgia,SEC
Jordon Riley,Nebraska,Big Ten
TaDarryl Marshall,UAB,Conference USA
Keilos Swinney,Louisiana Monroe,Sun Belt
Jordan Davis,Georgia,SEC
Jerquavion Mahone,Kentucky,SEC
Alfred Bryant,Indiana,Big Ten
Hugh Davis,Boston College,ACC
Marqualin Scott,Eastern Michigan,Mid-American
Jack Plummer,Purdue,Big Ten
Chase Allen,Iowa State,Big 12
Charles Bell,Marshall,Conference USA
Jha'Quan Jackson,Tulane,American Athletic
Terence Dunlap,Troy,Sun Belt
Christian Harris,Alabama,SEC
Josh Foster,TCU,Big 12
Jax Dineen,Kansas State,Big 12
Isaiah Hamilton,San José State,Mountain West
Calvin Bundage,Oklahoma State,Big 12
Josh Farr,UTEP,Conference USA
Darrick Forrest,Cincinnati,American Athletic
Jamari Thrash,Georgia State,Sun Belt
Jordan Revels,Texas State,Sun Belt
Isaiah Jacobs,Maryland,Big Ten
Brock Martin,Oklahoma State,Big 12
Shaun Crawford,Notre Dame,FBS Independents
Quentin Johnston,TCU,Big 12
Austin Spiewak,Iowa,Big Ten
McKinnley Jackson,Texas A&M,SEC
Charles Steele,Coastal Carolina,Sun Belt
Deon Jackson,Duke,ACC
Kwamie Lassiter II,Kansas,Big 12
Abe Anderson,Tulsa,American Athletic
Michael Carter II,Duke,ACC
Phillip Howard,Minnesota,Big Ten
Danny Godlevske,Miami (OH),Mid-American
Cade McNamara,Michigan,Big Ten
Tre'Von Morgan,Michigan State,Big Ten
Camden Rogers,Miami (OH),Mid-American
Amir Abdur-Rahman,Vanderbilt,SEC
Tayvonn Kyle,Iowa State,Big 12
Michael Collins,Rice,Conference USA
Chris Smith,Louisiana,Sun Belt
Rayshard Ashby,Virginia Tech,ACC
Nick Days,Western Kentucky,Conference USA
Jonnie Pitman,Charlotte,Conference USA
Jamyest Williams,Georgia State,Sun Belt
Keandre Lambert,Penn State,Big Ten
Chris Brown,Texas,Big 12
Tyrone Hill,Buffalo,Mid-American
Isaiah Foskey,Notre Dame,FBS Independents
Bryan Massey,SMU,American Athletic
Frank Peasant,Middle Tennessee,Conference USA
Zach Williams,North Texas,Conference USA
Jamontez Woods,Troy,Sun Belt
Will Adams,Cincinnati,American Athletic
Briley Moore,Kansas State,Big 12
Paris Brown,Pittsburgh,ACC
Charlie Mangieri,Northwestern,Big Ten
Trayvon Rudolph,Northern Illinois,Mid-American
Austin Upshaw,SMU,American Athletic
Boaz Pogue,Temple,American Athletic
Luke Loecher,Oregon State,Pac-12
Gervon Dexter,Florida,SEC
Andrew Mims,South Florida,American Athletic
Kawaan Baker,South Alabama,Sun Belt
Rico Arnold,Charlotte,Conference USA
KJ Jefferson,Arkansas,SEC
John Hoyland,Wyoming,Mountain West
Akili Arnold,Oregon State,Pac-12
Mykol Clark,Louisiana Tech,Conference USA
Kimani Vidal,Troy,Sun Belt
TW Ayers,Arkansas State,Sun Belt
Eli Stove,Auburn,SEC
Nate Mccollum,Georgia Tech,ACC
Brennan Kutterer,Wyoming,Mountain West
Damonte Coxie,Memphis,American Athletic
A.J. Brathwaite Jr.,Western Kentucky,Conference USA
Jonathan Garibay,Texas Tech,Big 12
Shane Illingworth,Oklahoma State,Big 12
Manny Rugamba,Miami (OH),Mid-American
Randle Jones,Temple,American Athletic
Broc Lane,Utah State,Mountain West
Edefuan Ulofoshio,Washington,Pac-12
Tyler Vaughns,USC,Pac-12
Nazar Bombata,Arizona,Pac-12
Ja'Cquez Williams,Wake Forest,ACC
Jordan Noyes,Utah,Pac-12
Chandler Morris,Oklahoma,Big 12
Brayden Matts,Coastal Carolina,Sun Belt
Mike Sainristil,Michigan,Big Ten
Will Howard,Kansas State,Big 12
Asher O'Hara,Middle Tennessee,Conference USA
Shawn Jennings,South Alabama,Sun Belt
Steven McBride,Kansas,Big 12
D'Vion Harris,Minnesota,Big Ten
Jaylon Jackson,Colorado,Pac-12
Joseph Carlson,Air Force,Mountain West
Ricky Person Jr.,NC State,ACC
Ali Abbas,Buffalo,Mid-American
Khalil Shakir,Boise State,Mountain West
Griffin Hebert,Louisiana Tech,Conference USA
Blake Mazza,Washington State,Pac-12
Drew Tuazama,Syracuse,ACC
Pooka Williams Jr.,Kansas,Big 12
Jacob Adams,Louisiana Tech,Conference USA
Tyler Bentley,Pittsburgh,ACC
Ja'von Hicks,Cincinnati,American Athletic
Elijah Molden,Washington,Pac-12
Trea Shropshire,UAB,Conference USA
Gary Brightwell,Arizona,Pac-12
Bishop McDonald,Minnesota,Big Ten
Max Bortenschlager,Florida International,Conference USA
Julian Fleming,Ohio State,Big Ten
Javhari Bourdeau,Army,FBS Independents
Collin Miller,Nebraska,Big Ten
Marcus Fuqua,Buffalo,Mid-American
Tyler Lavine,SMU,American Athletic
Shane Buechele,SMU,American Athletic
Rocky Shelton II,Duke,ACC
Moses Douglass,Kentucky,SEC
Julian Richardson,Akron,Mid-American
Henry Colombi,Texas Tech,Big 12
Isaiah Williams,Illinois,Big Ten
Elijah Gates,UCLA,Pac-12
Paddy Fisher,Northwestern,Big Ten
Khadry Jackson,North Carolina,ACC
Trevon Moehrig-Woodard,TCU,Big 12
Armani Rogers,Ohio,Mid-American
Quinton Cooley,Wake Forest,ACC
Jordan Woods,Florida International,Conference USA
Malik Moore,BYU,FBS Independents
Carter Wheat,BYU,FBS Independents
Tory Carter,LSU,SEC
Marcell Barbee,Texas State,Sun Belt
Juwan Burgess,Indiana,Big Ten
Deven Lamp,Tulsa,American Athletic
Jacoby Clarke,Baylor,Big 12
Maurice Burkley,Louisville,ACC
Isaiah Johnson,Fresno State,Mountain West
Kyle Trask,Florida,SEC
Cory Gross Jr.,Buffalo,Mid-American
Brian Norris Jr.,South Florida,American Athletic
Noah Curtis,Florida International,Conference USA
Jeremiah Lewis,Duke,ACC
Demetrius Taylor,Appalachian State,Sun Belt
Taurus Simmons,West Virginia,Big 12
LaDarrius Bishop,Arkansas,SEC
Trey Dean III,Florida,SEC
Ricky Miezan,Stanford,Pac-12
Johnathan Butler,Middle Tennessee,Conference USA
La'Kamion Franklin,Louisiana,Sun Belt
Jack Heflin,Iowa,Big Ten
Nolan Joseph Cooney,Syracuse,ACC
Thomas Harper,Oklahoma State,Big 12
Connor Wedington,Stanford,Pac-12
Tymon Mitchell,Georgia,SEC
Emani Bailey,Louisiana,Sun Belt
Nicholas Ross,Appalachian State,Sun Belt
Chase Gabriel,Florida International,Conference USA
Joel Dublanko,Cincinnati,American Athletic
AJ Crider,Toledo,Mid-American
Jai'ave Magalei,Louisiana,Sun Belt
Tyrrell Pigrome,Western Kentucky,Conference USA
Samuel Wheeler,Kansas State,Big 12
Tayvon Ruley,Temple,American Athletic
Dennis Barnes,UTEP,Conference USA
Bo Bauer,Notre Dame,FBS Independents
Gunnar Watson,Troy,Sun Belt
Keilos Swinney,Louisiana Monroe,Sun Belt
David Chapple,North Texas,Conference USA
Ryan Veingrad,Florida Atlantic,Conference USA
Kevin Oliver,Florida International,Conference USA
Damon Lowe,Western Kentucky,Conference USA
Justin Harris,Vanderbilt,SEC
Cade Musser,Missouri,SEC
Cedarious Barfield,San Diego State,Mountain West
DaShon Bussell,Western Michigan,Mid-American
Ron Cook Jr.,Buffalo,Mid-American
Jamaal Bell,Nevada,Mountain West
Chase Lasater,Florida Atlantic,Conference USA
" Team",Texas Tech,Big 12
Shaun Shivers,Auburn,SEC
Daimarqua Foster,TCU,Big 12
Jamieson Sheahan,California,Pac-12
DaShon Bussell,Western Michigan,Mid-American
Ben Peterson,Air Force,Mountain West
Richie Grant,UCF,American Athletic
Deshawn Pace,Cincinnati,American Athletic
Brandon Pada,Utah State,Mountain West
Jack DeFoor,Georgia Tech,ACC
Chris Jackson,BYU,FBS Independents
Jarrid Williams,Miami,ACC
Osita Ekwonu,Notre Dame,FBS Independents
Terreance Ellis,Rice,Conference USA
Adam Stack,Hawai'i,Mountain West
Jamal Anderson,Florida International,Conference USA
Tre Siggers,North Texas,Conference USA
Levi Williams,Wyoming,Mountain West
Sean Clifford,Penn State,Big Ten
Isaiah Moore,NC State,ACC
Xavier Arline,Navy,American Athletic
Chandler Stump,Memphis,American Athletic
Jamaal Bell,Nevada,Mountain West
Justin Rigg,Kentucky,SEC
Julian Ross,Ohio,Mid-American
Myron Mitchell,UAB,Conference USA
Er. Scott,Southern Mississippi,Conference USA
Wyatt Davis,Ohio State,Big Ten
La'Darius Jefferson,Western Michigan,Mid-American
Noah Gray,Duke,ACC
Joshua Bailey,Iowa State,Big 12
Zach Williams,North Texas,Conference USA
Jaden Dedman,Nevada,Mountain West
Marvin Moody,Tulane,American Athletic
Jeremiah Salaam,Kent State,Mid-American
Zykeivous Walker,Auburn,SEC
Briley Moore,Kansas State,Big 12
Brooks Cormier,Purdue,Big Ten
Dylan Leonard,Georgia Tech,ACC
Pat Freiermuth,Penn State,Big Ten
Charlie Bostic III,San José State,Mountain West
Mike Wright,Vanderbilt,SEC
Lawson Hall,Nevada,Mountain West
Geordon Porter,Arizona State,Pac-12
Dalles Jacobus,Iowa,Big Ten
Gerry Bohannon,Baylor,Big 12
Elmer Pauni,New Mexico,Mountain West
Hunter Bergeron,Louisiana,Sun Belt
Jaxson Kincaide,Western Michigan,Mid-American
Eric Stokes,Georgia,SEC
Mitchell Tinsley,Western Kentucky,Conference USA
Talanoa Hufanga,USC,Pac-12
Ben Miles,Kansas,Big 12
Rashad Ajayi,Colorado State,Mountain West
" Team",Georgia Tech,ACC
Daijun Edwards,Georgia,SEC
" Team",Virginia Tech,ACC
Jeremy Hunt,Louisiana Monroe,Sun Belt
Ethan Wright,Cincinnati,American Athletic
Charles Campbell,Indiana,Big Ten
Mitchell Pryor,Vanderbilt,SEC
Patrick McSweeney,Coastal Carolina,Sun Belt
Will Shaffer,Arizona State,Pac-12
Antavious Willis,Southern Mississippi,Conference USA
Keyshawn Helton,Florida State,ACC
Jaylen Watson,Washington State,Pac-12
Jake Haener,Fresno State,Mountain West
Isaiah Lewis,Colorado,Pac-12
Trevon West,Oklahoma,Big 12
Davonte Brown,UCF,American Athletic
Jalon Calhoun,Duke,ACC
Shane Hooks,Ohio,Mid-American
Velton Gardner,Kansas,Big 12
Tyler Visser,Boise State,Mountain West
Jordan Botelho,Notre Dame,FBS Independents
Justus Tavai,Hawai'i,Mountain West
Javonis Isaac,Arkansas State,Sun Belt
Joey Yellen,Pittsburgh,ACC
Cameron Dicker,Texas,Big 12
Ty Van Fossen,Cincinnati,American Athletic
Nick Stokes,Army,FBS Independents
Wayne Taulapapa,Virginia,ACC
Dominique Shoffner,Charlotte,Conference USA
Ryan Rehkow,BYU,FBS Independents
Ben Labrosse,Syracuse,ACC
Seth Benson,Iowa,Big Ten
Peyton Ramsey,Northwestern,Big Ten
Jacob Gasser,UNLV,Mountain West
Tre Nixon,UCF,American Athletic
Marvin Mims,Oklahoma,Big 12
JT Daniels,Georgia,SEC
Ryan Nixon,Tulsa,American Athletic
Ellis Merriweather,UMass,FBS Independents
Rodell Rahmaan,Bowling Green,Mid-American
Drew Birchmeier,Vanderbilt,SEC
Roman Parodie,Ohio,Mid-American
Darrius Bratton,Virginia,ACC
Deon Jackson,Duke,ACC
Troy Warner,BYU,FBS Independents
Kahi Neves,San Diego State,Mountain West
Tennessee Pututau,Utah,Pac-12
Mike Palmer,Boston College,ACC
Dylan Downing,UNLV,Mountain West
Zion Debose,Virginia Tech,ACC
Eric Munoz,Utah State,Mountain West
Bryson Cannon,Eastern Michigan,Mid-American
Deneric Prince,Tulsa,American Athletic
Corren Norman,LSU,SEC
Cam Brown,Georgia Southern,Sun Belt
Christian Williams,Miami,ACC
Ronald Thompkins,Nebraska,Big Ten
Cornelious Brown,Georgia State,Sun Belt
Ryan Renick,Texas A&M,SEC
Frank Ladson Jr.,Clemson,ACC
Caden Haws,BYU,FBS Independents
Josh Chandler,West Virginia,Big 12
Sulaiman Kamara,Wake Forest,ACC
Jake Bailey,Rice,Conference USA
Seamus O'Kelly,Texas State,Sun Belt
Eli Pancol,Duke,ACC
Blake Hayes,Illinois,Big Ten
Cyrus Habibi-Likio,Oregon,Pac-12
Devaughn Vele,Utah,Pac-12
Christian Wells,Appalachian State,Sun Belt
Billy Humphreys,San José State,Mountain West
MJ Tafisi,Washington,Pac-12
Jordan Mims,Fresno State,Mountain West
Broc Lane,Utah State,Mountain West
Tyarise Stevenson,Tulsa,American Athletic
Jerome Ford,Cincinnati,American Athletic
Chris Agyemang,Ball State,Mid-American
Ryan Langan,Georgia Southern,Sun Belt
Caleb Chapman,Texas A&M,SEC
C.J. Coldon,Wyoming,Mountain West
Jeremiah Jean-Baptiste,UCF,American Athletic
Ty Shelby,Louisiana Monroe,Sun Belt
Seth Porter,Kansas State,Big 12
Shane Bruce,Coastal Carolina,Sun Belt
Israel Mukuamu,South Carolina,SEC
Jo'quavious Marks,Mississippi State,SEC
Greg Williams,Clemson,ACC
Quincy Ledet,Louisiana Monroe,Sun Belt
Nick Ast,Kansas State,Big 12
Sam Westfall,SMU,American Athletic
Emil Smith,Georgia Southern,Sun Belt
Knox Kadum,Virginia Tech,ACC
Justin Shorter,Florida,SEC
Demarco Jones,Oklahoma State,Big 12
Dillon Doyle,Baylor,Big 12
Frank Harris,UT San Antonio,Conference USA
Cole Caterbone,Army,FBS Independents
Jai'ave Magalei,Louisiana,Sun Belt
Brennan Presley,Oklahoma State,Big 12
Velton Gardner,Kansas,Big 12
Bryce Baringer,Michigan State,Big Ten
Donovan Dalton,Hawai'i,Mountain West
Mikeal Bradford,Nevada,Mountain West
Keyshawn Helton,Florida State,ACC
Devonni Reed,Central Michigan,Mid-American
Noah Harvey,Michigan State,Big Ten
Ricky Person Jr.,NC State,ACC
Dru Prox,Kansas,Big 12
Mason Wolk,Liberty,FBS Independents
Greg Rose,Maryland,Big Ten
Reddy Steward,Troy,Sun Belt
Josiah Johnson,UMass,FBS Independents
Quinn Nordin,Michigan,Big Ten
Bruce Bivens,East Carolina,American Athletic
Jaylon Monroe,Tulane,American Athletic
Marquis Hayes,Oklahoma,Big 12
Caleb Biggers,Bowling Green,Mid-American
Bubba McAtee,Clemson,ACC
Tyler Goodson,Iowa,Big Ten
Mac Dalena,Fresno State,Mountain West
Davyn Flenord,South Alabama,Sun Belt
T.J. Vasher,Texas Tech,Big 12
Braxten Croteau,California,Pac-12
Kyren Williams,Notre Dame,FBS Independents
Logan Hawkins,Akron,Mid-American
Marcell Barbee,Texas State,Sun Belt
Asante Samuel Jr.,Florida State,ACC
Jaylen Harris,Ohio State,Big Ten
Ty Chandler,Tennessee,SEC
D.J. Smith,Eastern Michigan,Mid-American
Michael Purcell,Air Force,Mountain West
Da'Marcus Johnson,Fresno State,Mountain West
Kyron Mims,Ball State,Mid-American
Taulia Tagovailoa,Maryland,Big Ten
Jake Pinegar,Penn State,Big Ten
Braylen Ingraham,Alabama,SEC
Thomas Rush,Minnesota,Big Ten
Trill Williams,Syracuse,ACC
Daniel Richardson,Central Michigan,Mid-American
Dawson Downing,Missouri,SEC
John Gregory,Ohio,Mid-American
Jordan Butler,Northwestern,Big Ten
Jordan Blackman,Army,FBS Independents
Kyle Romenick,Akron,Mid-American
Fred Davis II,Clemson,ACC
Jackson Baltar,Buffalo,Mid-American
Julian Barnett,Michigan State,Big Ten
Demick Starling,Virginia,ACC
Jordan Noyes,Utah,Pac-12
Austin Watkins,UAB,Conference USA
Kameron Toomer,Nevada,Mountain West
Sione Tupou,Texas State,Sun Belt
Jaylin Dickerson,South Carolina,SEC
Jarret Doege,West Virginia,Big 12
Lovie Jenkins,Louisville,ACC
Luke Masterson,Wake Forest,ACC
Jaret Pallotta,UMass,FBS Independents
Dayton Wade,Western Kentucky,Conference USA
Daiyan Henley,Nevada,Mountain West
J.D. Harris,Northern Illinois,Mid-American
Cam'Ron Harris,Miami,ACC
Arian Gregory,Southern Mississippi,Conference USA
Aaron McAllister,Charlotte,Conference USA
Sayyid Stevens,Duke,ACC
Bryson Lucero,UAB,Conference USA
Rico Arnold,Charlotte,Conference USA
David Laney,East Carolina,American Athletic
Mustafa Johnson,Colorado,Pac-12
Demarcus Jones,Southern Mississippi,Conference USA
Michael Dixon,Minnesota,Big Ten
Abram Smith,Baylor,Big 12
Zakhari Franklin,UT San Antonio,Conference USA
Jake Bobo,Duke,ACC
Ja'Quan McMillian,East Carolina,American Athletic
Kody Walterscheid,Oklahoma State,Big 12
Javion Posey,Florida Atlantic,Conference USA
Rory Hanson,Fresno State,Mountain West
" Team",Virginia,ACC
Cory Smigel,Akron,Mid-American
Keyon Brooks,Vanderbilt,SEC
Tayvion Robinson,Virginia Tech,ACC
Andre Carter,Western Michigan,Mid-American
Antwan Collier,UCF,American Athletic
Marcel Dancy,California,Pac-12
Kameron Toomer,Nevada,Mountain West
AJ Reed,Arkansas,SEC
A.J. Brathwaite Jr.,Western Kentucky,Conference USA
Jarrod Hewitt,Virginia Tech,ACC
Nesta Silvera,Miami,ACC
Sefo Mailangi,San Diego State,Mountain West
Ken Robinson,UT San Antonio,Conference USA
Julian McDuffie,Army,FBS Independents
Darius Stills,West Virginia,Big 12
Garrett Groshek,Wisconsin,Big Ten
Justus Te'i,Utah State,Mountain West
Mike Epstein,Illinois,Big Ten
Rontavius Groves,North Carolina,ACC
Ezekiel Noa,Boise State,Mountain West
Kelvontay Dixon,Texas,Big 12
Aapri Washington,Buffalo,Mid-American
William Przystup,Nebraska,Big Ten
Kyric McGowan,Northwestern,Big Ten
Jamarquis Johnson,Florida Atlantic,Conference USA
Sherrod Greene,South Carolina,SEC
Bryce Thompson,Tennessee,SEC
Chris Steele,USC,Pac-12
Peytton Pickett,Liberty,FBS Independents
Chauncey Manac,Louisiana,Sun Belt
Lowell Narcisse,UT San Antonio,Conference USA
Miles Brooks,Georgia Tech,ACC
John Morgan,Pittsburgh,ACC
Josiah Johnson,UMass,FBS Independents
Chad Muma,Wyoming,Mountain West
Todd Harris Jr.,LSU,SEC
Dez Fitzpatrick,Louisville,ACC
DJ Warnell,UCLA,Pac-12
