,institution
751,Argosy University-Inland Empire
752,Argosy University-Los Angeles
753,Argosy University-Nashville
754,Argosy University-Phoenix
755,Argosy University-Phoenix Campus
756,Argosy University-Phoenix Online Division
757,Argosy University-Salt Lake City
758,Argosy University-San Diego
759,Argosy University-San Francisco Bay Area
760,Argosy University-San Francisco Bay Area Campus
761,Argosy University-Santa Monica Campus
762,Argosy University-Sarasota
763,Argosy University-Sarasota Campus
764,Argosy University-Schaumburg
765,Argosy University-Schaumburg Campus
766,Argosy University-Seattle
767,Argosy University-Seattle Campus
768,Argosy University-Tampa
769,Argosy University-Twin Cities
770,Argosy University-Washington D.C.
771,Argosy University-Washington DC Campus
772,Ari Ben Aviator
773,Aria Health School of Nursing
774,Aristotle University of Thessaloniki
775,Arizona Academy of Beauty Inc
776,Arizona Academy of Beauty-East
777,Arizona Academy of Beauty-North
778,Arizona Board of Regents
779,Arizona Christian University
