,instname,city,zip,tuition01,tuition02,tuition03,nettuition01,net_student_tuition,private03,stable_operating_rev,total03_revenue,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,total_executive_admin_managerial,total_faculty_all,full_time_employees,all_employees,salarytotal
224,ITT Technical Institute-Webster,Webster,77598,,,5911819.0,5911819.0,5086412.0,,5911819.0,5911819.0,353.0,1.0,4.0,47.0,130.0,168.0,,3.0,0.0,5.0,23.0,39.0,50.0,524281.0
225,DENTAL OPPORTUNITIES,CHANNELVIEW,77530,,,,,,,,,,,,,,,,,,,,,,
226,TRI-STATE SEMI DRIVER TRAINING,HOUSTON,77040,,,,,,,,,,,,,,,,,,,,,,
227,LEONARDS TRAINING PROGRAMS INC,HOUSTON,77057,,,,,,,,,,,,,,,,,,,,,,
228,INSTITUTE OF COSMETIC ARTS AND SCIENCE,CORPUS CHRISTI,78412,,,,,,,,,,,,,,,,,,,,,,
229,LANDMARK BAPTIST THEOLOGICAL SEMINARY,FT WORTH,76117,,,,,,,,,,,,,,,,,,,,,,
230,AMERICAN AIRLINES TRAVEL ACADEMY,FT WORTH,76155,,,,,,,,,,,,,,,,,,,,,,
231,TEXAS ALLBREED GROOMING SCHOOL INC,ARLINGTON,76001,,,,,,,,,,,,,,,,,,,,,,
232,CLINICAL DENTAL CAREERS,BROWNSVILLE,78521,,,,,,,,,,,,,,,,,,,,,,
233,PROFESSIONAL CAREERS INSTITUTE,HOUSTON,77057,,,,,,,,,,,,,,,,,,,,,,
234,American Commercial College,Wichita Falls,76310,,,2320868.0,2320868.0,800727.0,,4838172.0,4134017.0,82.0,1.0,0.0,11.0,13.0,57.0,,0.0,0.0,,,,,
235,American Commercial College-Wichita Falls,Wichita Falls,76310,,,872537.0,872537.0,-393680.0,,872537.0,2143866.0,255.0,0.0,0.0,56.0,53.0,146.0,0.0,0.0,0.0,2.0,17.0,16.0,21.0,
236,Mid-Cities Barber College,Grand Prairie,75051-489,,,55178.0,55178.0,-6764.0,,130023.0,167992.0,20.0,0.0,0.0,3.0,8.0,8.0,,0.0,0.0,,,,,
237,The College of Saint Thomas More,Fort Worth,76109,,,232616.0,194441.0,180921.0,339189.0,369239.98046875,730529.0,,,,,,,,,,3.0,3.0,7.0,7.0,85093.0
238,Royal Beauty Careers,Houston,77069-461,,,752594.0,752594.0,613264.0,,981686.0,982974.0,144.0,0.0,0.0,0.0,0.0,144.0,,0.0,0.0,,,,,
239,Texas Career Institute-Kerrville,Kerrville,78028,,,347331.0,347331.0,254670.0,,548081.0,548081.0,40.0,0.0,0.0,0.0,0.0,36.0,,0.0,0.0,,,,,
240,VANGUARD INSTITUTE OF TECHNOLOGY,HARLINGEN,78550,,,,,,,,,,,,,,,,,,,,,,
241,STAR COLLEGE OF COSMETOLOGY 3,GRAPEVINE,76051-6231,,,121314.0,106999.0,79603.0,,172357.0,126015.0,,,,,,,,,,,,,,
242,Pipo Academy of Hair Design,El Paso,79903,,,146674.0,146674.0,16990.0,,200164.0,201653.0,42.0,0.0,0.0,0.0,41.0,0.0,,0.0,0.0,,,,,
243,Stephenville Beauty College,Stephenville,76401,,,442578.0,424475.0,366677.0,18103.0,463198.0,500404.0,,,,,,,,,,,,,,
244,Velma B's Beauty Academy,Dallas,75216,,,257604.0,257604.0,170714.0,,379448.0,292558.0,,,,,,,,,,,,,,
245,VOGUE COLLEGE OF COSMETOLOGY,BROWNSVILLE,78520,,,,,,,,,,,,,,,,,,,,,,
246,The University of Texas M.D.  Anderson Cancer Center,Houston,77030-400,,,24973.0,24973.0,24973.0,,716609.0,716609.0,20.0,0.0,3.0,3.0,0.0,0.0,,0.0,0.0,1.0,7.0,10.0,12.0,291206.0
247,REYNALDO GARZA SCHOOL OF LAW,SAN BENITO,78586,,,,,,,,,,,,,,,,,,,,,,
248,MONTESSORI TEACHER TRAINING,HOUSTON,77479,,,,,,,,,,,,,,,,,,,,,,
249,Faris Computer School Inc,Nederland,77627-382,,,249933.0,249933.0,237334.0,,249933.0,250131.0,25.0,0.0,0.0,0.0,0.0,18.0,,0.0,0.0,,,,,
250,Faris Technical Institute Inc,Nederland,77627-3829,,,129816.0,129816.0,53979.0,,129816.0,129816.0,26.0,0.0,0.0,2.0,4.0,20.0,0.0,0.0,0.0,2.0,2.0,5.0,6.0,
251,Careers Unlimited Beauty School,Houston,77055,,,810936.0,810936.0,209347.0,,846131.0,846131.0,226.0,0.0,125.0,0.0,46.0,0.0,,0.0,54.0,,,,,
252,ASSOCIATED BUILDERS AND CONTRACTORS CONSTR TRG CTR,NEDERLAND,77627,,,,,,,,,,,,,,,,,,,,,,
253,AIRLINE TRANSPORT PROFESSIONALS,GRAND PRAIRIE,75051,,,,,,,,,,,,,,,,,,,,,,
254,Baldwin Beauty School,Austin,78757-706,,,286158.0,286158.0,184185.0,,489738.0,489738.0,,,,,,,,,,,,,,
