i_id,city,state,zip
9986,Keene,TX,76059
9987,Waxahachie,TX,75165
9988,Fort Worth,TX,76115
9989,Terrell,TX,75160-481
9990,Bethany,OK,73008
9991,Santa Fe,NM,87507
9992,Sylva,NC,28779
9993,Belleville,IL,62221-589
9994,Albuquerque,NM,87120-310
9995,Los Angeles,CA,90010-1106
9996,Dowagiac,MI,49047-979
9997,Weatherford,OK,73096-309
9998,Coos Bay,OR,97420-219
9999,Houston,TX,77056
10000,Georgetown,TX,78626
10001,Los Angeles,CA,90005-399
10002,Portland,ME,4102
10003,Portland,ME,4102
10004,Westbrook,ME,4092
10005,West Melbourne,FL,32904
10006,Louisville,KY,40203-218
10007,Chicago,IL,60609-220
10008,Manhattan,NY,10036-391
10009,Shelbyville,IL,62565
10010,Tulsa,OK,74115
10011,Spartanburg,SC,29303
10012,Spartanburg,SC,29301-589
10013,Spartanburg,SC,29303
10014,Southfield,MI,48075
10015,Southfield,MI,48075
10016,Hayward,CA,94546
10017,Atlanta,GA,30314-439
10018,Louisville,KY,40216
10019,Lexington,KY,40505-451
10020,Chicago,IL,60605
10021,Spokane,WA,99217-539
10022,Spokane,WA,99224-528
10023,Canton,IL,61520-980
10024,Spring Arbor,MI,49283-979
10025,Mobile,AL,36608-179
10026,Annandale,VA,22003
10027,Springfield,OH,45505
10028,Springfield,MA,01109-379
10029,Springfield,IL,62702
10030,Springfield,OR,97477
10031,Springfield,MA,1109
10032,Springfield,OH,45505
10033,Springfield,MA,01105-129
10034,Exton,PA,19341
10035,Laurinburg,NC,28352
10036,Stamford,CT,06902-3099
10037,Stamford,CT,06902-309
10038,Rochester,NY,14618
10039,Saint Paul,MN,55105
10040,Cottleville,MO,63376-097
10041,Saint Charles,MO,63303
10042,Port Huron,MI,48061-501
10043,Saint Cloud,MN,56303-1240
10044,Lynwood,CA,90262
10045,Brooklyn Heights,NY,11201-990
10046,Trenton,NJ,08629-198
10049,Hornell,NY,14843-219
10050,Santa Fe,NM,87505-459
10051,Springfield,MO,65804
10052,Camarillo,CA,93012-2500
10053,Queens,NY,11439
10054,Springfield,IL,62702-538
10055,Springfield,IL,62769
10056,Springfield,IL,62769
10057,Camarillo,CA,93012
10058,North Providence,RI,2904
10059,Syracuse,NY,13203
10060,Yonkers,NY,10701
10061,Reading,PA,19603-031
10062,Canton,NY,13617
10063,Canton,NY,13617
10064,Saint Louis,MO,63110
10065,Saint Louis,MO,63110
10066,Saint Louis,MO,63110-108
10067,Saint Louis,MO,63107-173
10068,La Puente,CA,91744
10069,Sioux City,IA,51104-026
10070,Milwaukee,WI,53207
10071,Bethlehem,PA,18015
10072,Milwaukee,WI,53207
10073,Pittsburgh,PA,15238-325
10074,Saint Mary's City,MD,20686-300
10075,Baltimore,MD,21210-1994
10076,San Antonio,TX,78228-857
10077,Northfield,MN,55057-1098
10078,Flushing,NY,11354
10079,Clearwater,FL,33760
10080,Saint Petersburg,FL,33708-311
10081,South Canaan,PA,18459-013
10082,Fresh Meadows,NY,11365
10083,Fresh Meadows,NY,11365
10084,Staten Island,NY,10304-385
10085,Bridgeport,CT,06606-420
10086,Laurinburg,NC,28352
10087,Stamford,CT,06902-3099
10088,Saint Paul,MN,55105
10089,Lynwood,CA,90262
