University,State,World Ranking,National Ranking,Year,Coeficient
University of Toledo,OH,801,182,2019,3
Amherst College,MA,801,182,2020,3
Boise State University,ID,801,182,2020,3
Florida Atlantic University,FL,801,182,2020,3
Haverford College,PA,801,182,2020,3
Lincoln University,MO,801,7,2020,3
Portland State University,OR,801,182,2020,3
South Dakota State University,SD,801,182,2020,3
University of Rhode Island,RI,801,182,2020,3
Clark University,MA,901,193,2019,3
Florida Atlantic University,FL,901,193,2019,3
New Jersey Institute of Technology,NJ,901,193,2019,3
New Mexico State University,NM,901,193,2019,3
Union College,NY,901,193,2019,3
University of Denver,CO,901,193,2019,3
University of New Orleans,LA,901,193,2019,3
University of North Carolina at Charlotte,NC,901,193,2019,3
Williams College,MA,901,193,2019,3
Worcester Polytechnic Institute,MA,901,193,2019,3
College of William and Mary,VA,901,191,2020,3
East Carolina University,NC,901,191,2020,3
Howard University,DC,901,191,2020,3
New Jersey Institute of Technology,NJ,901,191,2020,3
Stevens Institute of Technology,NJ,901,191,2020,3
The University of Akron,OH,901,191,2020,3
University of Arkansas at Little Rock,AR,901,191,2020,3
University of Denver,CO,901,191,2020,3
University of North Carolina at Charlotte,NC,901,191,2020,3
University of North Carolina at Greensboro,NC,901,191,2020,3
Williams College,MA,901,191,2020,3
Worcester Polytechnic Institute,MA,901,191,2020,3
