University,State,Zip Code,World Ranking,National Ranking,Year,Coeficient
University of Iowa,IA,52242-131,151,62,2016,6
University of Iowa,IA,52242-131,151,61,2017,6
University of Iowa,IA,52242-131,151,59,2018,6
University of Iowa,IA,52242-131,201,67,2019,5
University of Iowa,IA,52242-131,201,66,2020,5
University of Kansas,KS,66045,201,72,2016,5
University of Kansas,KS,66045,201,71,2017,5
University of Kansas,KS,66045,201,70,2018,5
University of Kansas,KS,66045,201,67,2019,5
University of Kansas,KS,66045,201,66,2020,5
University of Kentucky,KY,40506-003,301,99,2016,5
University of Kentucky,KY,40506-003,301,100,2017,5
University of Kentucky,KY,40506-003,301,96,2018,5
University of Kentucky,KY,40506-003,301,95,2019,5
University of Kentucky,KY,40506-003,301,95,2020,5
University of Louisville,KY,40292-000,601,156,2019,4
University of Louisville,KY,40292-000,601,155,2020,4
University of Maine,ME,4469,401,118,2018,4
University of Maine,ME,4469,501,138,2019,4
University of Maine,ME,4469,401,115,2020,4
University of Manitoba,Canada,0,401,17,2016,4
University of Manitoba,Canada,0,301,12,2017,5
University of Manitoba,Canada,0,301,13,2018,5
University of Manitoba,Canada,0,301,13,2019,5
University of Manitoba,Canada,0,301,13,2020,5
"University of Maryland, College Park",MD,20742,52,32,2016,7
"University of Maryland, College Park",MD,20742,53,32,2017,7
"University of Maryland, College Park",MD,20742,51,32,2018,7
"University of Maryland, College Park",MD,20742,46,29,2019,8
"University of Maryland, College Park",MD,20742,53,31,2020,7
University of Massachusetts Amherst,NE,68588,151,62,2016,6
University of Massachusetts Amherst,NE,68588,151,61,2017,6
University of Massachusetts Amherst,NE,68588,151,59,2018,6
University of Massachusetts Amherst,NE,68588,151,59,2019,6
University of Massachusetts Amherst,NE,68588,151,57,2020,6
University of Miami,FL,33124,151,62,2016,6
University of Miami,FL,33124,151,61,2017,6
University of Miami,FL,33124,201,70,2018,5
University of Miami,FL,33124,201,67,2019,5
University of Miami,FL,33124,201,66,2020,5
University of Michigan-Ann Arbor,MI,48109,23,17,2016,8
University of Michigan-Ann Arbor,MI,48109,24,19,2017,8
University of Michigan-Ann Arbor,MI,48109,27,20,2018,8
University of Michigan-Ann Arbor,MI,48109,20,16,2019,8
University of Michigan-Ann Arbor,MI,48109,22,17,2020,8
"University of Minnesota, Twin Cities",MN,55455,33,24,2016,8
"University of Minnesota, Twin Cities",MN,55455,34,24,2017,8
"University of Minnesota, Twin Cities",MN,55455,37,25,2018,8
"University of Minnesota, Twin Cities",MN,55455,41,27,2019,8
"University of Minnesota, Twin Cities",MN,55455,40,24,2020,8
University of Mississippi,MS,38677-1848,801,182,2019,3
University of Missouri - Columbia,MS,38677,201,72,2016,5
University of Missouri - Columbia,MS,38677,201,71,2017,5
University of Missouri - Columbia,MS,38677,201,70,2018,5
University of Missouri - Columbia,MS,38677,151,59,2019,6
University of Missouri - Columbia,MS,38677,151,57,2020,6
University of Nebraska - Lincoln,MA,1003,201,72,2016,5
University of Nebraska - Lincoln,MA,1003,151,61,2017,6
University of Nebraska - Lincoln,MA,1003,201,70,2018,5
University of Nebraska - Lincoln,MA,1003,201,67,2019,5
University of Nebraska - Lincoln,MA,1003,201,66,2020,5
University of Nebraska Medical Center,NE,68198-781,601,156,2019,4
University of Nebraska Medical Center,NE,68198-781,601,155,2020,4
University of Nevada-Las Vegas,NV,89154,701,172,2019,4
University of Nevada-Las Vegas,NV,89154,501,134,2020,4
University of New England,ME,4005,601,26,2019,4
University of New England,ME,4005,501,24,2020,4
University of New Orleans,LA,70148,901,193,2019,3
University of North Carolina at Chapel Hill,NC,27599,35,25,2016,8
University of North Carolina at Chapel Hill,NC,27599,33,23,2017,8
University of North Carolina at Chapel Hill,NC,27599,30,22,2018,8
University of North Carolina at Chapel Hill,NC,27599,33,23,2019,8
University of North Carolina at Chapel Hill,NC,27599,30,21,2020,8
University of North Carolina at Charlotte,NC,28223-000,901,193,2019,3
University of North Carolina at Charlotte,NC,28223-000,901,191,2020,3
University of North Carolina at Greensboro,NC,27402-617,901,191,2020,3
University of North Texas,TX,76203-127,301,99,2016,5
University of North Texas,TX,76203-127,301,100,2017,5
University of North Texas,TX,76203-127,301,96,2018,5
University of North Texas,TX,76203-127,401,117,2019,4
University of North Texas,TX,76203-127,401,115,2020,4
University of Notre Dame,IN,46556,201,72,2016,5
University of Notre Dame,IN,46556,201,71,2017,5
University of Notre Dame,IN,46556,201,70,2018,5
University of Notre Dame,IN,46556,301,95,2019,5
University of Notre Dame,IN,46556,301,95,2020,5
University of Oklahoma - Norman,OK,73019,401,120,2017,4
University of Oklahoma - Norman,OK,73019,401,118,2018,4
University of Oklahoma - Norman,OK,73019,401,117,2019,4
University of Oklahoma - Norman,OK,73019,401,115,2020,4
University of Oregon,OR,97403,301,99,2016,5
University of Oregon,OR,97403,201,71,2017,5
University of Oregon,OR,97403,301,96,2018,5
University of Oregon,OR,97403,301,95,2019,5
University of Oregon,OR,97403,301,95,2020,5
University of Pennsylvania,PA,19104-630,18,15,2016,8
University of Pennsylvania,PA,19104-630,17,14,2017,8
University of Pennsylvania,PA,19104-630,16,14,2018,8
University of Pennsylvania,PA,19104-630,17,14,2019,8
University of Pennsylvania,PA,19104-630,19,15,2020,8
University of Pittsburgh,PA,15260,96,41,2020,7
University of Rhode Island,RI,2881,601,156,2019,4
University of Rhode Island,RI,2881,801,182,2020,3
University of Rochester,NY,14627-001,101,51,2016,6
University of Rochester,NY,14627-001,101,49,2017,6
University of Rochester,NY,14627-001,151,59,2018,6
University of Rochester,NY,14627-001,151,59,2019,6
University of Rochester,NY,14627-001,151,57,2020,6
University of South Carolina - Columbia,SC,29208,301,99,2016,5
University of South Carolina - Columbia,SC,29208,301,100,2017,5
University of South Carolina - Columbia,SC,29208,301,96,2018,5
University of South Carolina - Columbia,SC,29208,301,95,2019,5
University of South Carolina - Columbia,SC,29208,301,95,2020,5
University of South Florida,FL,33620-995,201,72,2016,5
University of South Florida,FL,33620-995,201,71,2017,5
University of South Florida,FL,33620-995,201,70,2018,5
University of South Florida,FL,33620-995,201,67,2019,5
University of South Florida,FL,33620-995,201,66,2020,5
University of Southern California,CA,90089,49,31,2016,8
University of Southern California,CA,90089,54,33,2017,7
University of Southern California,CA,90089,60,33,2018,7
University of Southern California,CA,90089,55,32,2019,7
University of Southern California,CA,90089,61,32,2020,7
University of Tennessee - Knoxville,TN,37996,301,99,2016,5
University of Tennessee - Knoxville,TN,37996,201,71,2017,5
University of Tennessee - Knoxville,TN,37996,201,70,2018,5
University of Tennessee - Knoxville,TN,37996,201,67,2019,5
University of Tennessee - Knoxville,TN,37996,201,66,2020,5
University of Texas at El Paso,TX,79968,701,172,2019,4
University of Texas at El Paso,TX,79968,601,155,2020,4
University of Toledo,OH,43606-339,801,182,2019,3
University of Toledo,OH,43606-339,601,155,2020,4
University of Utah,UT,84112-900,100,50,2016,7
University of Utah,UT,84112-900,101,49,2017,6
University of Utah,UT,84112-900,101,47,2018,6
University of Utah,UT,84112-900,101,46,2019,6
University of Utah,UT,84112-900,101,42,2020,6
University of Vermont,VT,05405-016,301,99,2016,5
University of Vermont,VT,05405-016,301,100,2017,5
University of Vermont,VT,05405-016,301,96,2018,5
University of Vermont,VT,05405-016,301,95,2019,5
University of Vermont,VT,05405-016,301,95,2020,5
University of Virginia,VA,22904,151,62,2016,6
University of Virginia,VA,22904,151,61,2017,6
University of Virginia,VA,22904,151,59,2018,6
University of Virginia,VA,22904,151,59,2019,6
University of Virginia,VA,22904,151,57,2020,6
University of Washington,WA,98195,15,13,2016,8
University of Washington,WA,98195,13,11,2017,8
University of Washington,WA,98195,14,12,2018,8
University of Washington,WA,98195,14,12,2019,8
University of Washington,WA,98195,16,13,2020,8
University of Wisconsin-Milwaukee,WI,53211,401,118,2018,4
