"player_id","pick","year","t_name","c_name","state"
151,51,2016,"Pennsylvania State University","Big Ten","PA"
151,51,2016,"Pennsylvania State University","Big Ten","PA"
151,51,2016,"Pennsylvania State University","Big Ten","PA"
151,51,2016,"Pennsylvania State University","Big Ten","PA"
151,51,2016,"Pennsylvania State University","Big Ten","PA"
151,51,2016,"Pennsylvania State University","Big Ten","PA"
1191,51,2020,"The University of Alabama","SEC","AL"
669,51,2018,"University of Memphis","AAC","TN"
931,51,2019,"University of Mississippi","SEC","MS"
1192,52,2020,"Florida State University","ACC","FL"
152,52,2016,"Louisiana State University - Baton Rouge","SEC","LA"
670,52,2018,"Rutgers University","Big Ten","NJ"
411,52,2017,"University of Notre Dame","ACC","IN"
932,52,2019,"University of Washington","PAC-12","WA"
932,52,2019,"University of Washington","PAC-12","WA"
932,52,2019,"University of Washington","PAC-12","WA"
932,52,2019,"University of Washington","PAC-12","WA"
932,52,2019,"University of Washington","PAC-12","WA"
412,53,2017,"Florida State University","ACC","FL"
933,53,2019,"Pennsylvania State University","Big Ten","PA"
933,53,2019,"Pennsylvania State University","Big Ten","PA"
933,53,2019,"Pennsylvania State University","Big Ten","PA"
933,53,2019,"Pennsylvania State University","Big Ten","PA"
933,53,2019,"Pennsylvania State University","Big Ten","PA"
933,53,2019,"Pennsylvania State University","Big Ten","PA"
933,53,2019,"Pennsylvania State University","Big Ten","PA"
933,53,2019,"Pennsylvania State University","Big Ten","PA"
933,53,2019,"Pennsylvania State University","Big Ten","PA"
933,53,2019,"Pennsylvania State University","Big Ten","PA"
933,53,2019,"Pennsylvania State University","Big Ten","PA"
933,53,2019,"Pennsylvania State University","Big Ten","PA"
671,53,2018,"University of North Carolina at Greensboro","SoCon","NC"
1193,53,2020,"University of Oklahoma","Big 12","OK"
1193,53,2020,"University of Oklahoma","Big 12","OK"
1193,53,2020,"University of Oklahoma","Big 12","OK"
1193,53,2020,"University of Oklahoma","Big 12","OK"
153,53,2016,"University of South Carolina","SEC","SC"
154,54,2016,"Clemson University","ACC","SC"
413,54,2017,"Ohio State University","Big Ten","OH"
1194,54,2020,"University of Iowa","Big Ten","IA"
934,54,2019,"University of Kentucky","SEC","KY"
672,54,2018,"Wake Forest University","ACC","NC"
673,55,2018,"Louisiana State University - Baton Rouge","SEC","LA"
935,55,2019,"Northern Illinois University","MAC","IL"
1195,55,2020,"Ohio State University","Big Ten","OH"
414,55,2017,"The University of Alabama","SEC","AL"
155,55,2016,"University of Pittsburgh","ACC","PA"
415,56,2017,"Central Connecticut State University","NEC","CT"
674,56,2018,"Florida State University","ACC","FL"
156,56,2016,"Kansas State University","Big 12","KS"
1196,56,2020,"The University of Alabama","SEC","AL"
936,56,2019,"University of Georgia","SEC","GA"
157,57,2016,"Clemson University","ACC","SC"
1197,57,2020,"Florida State University","ACC","FL"
675,57,2018,"Sam Houston State University","WAC","TX"
937,57,2019,"Stanford University","PAC-12","CA"
416,57,2017,"Vanderbilt University","SEC","TN"
1198,58,2020,"Boise State University","MW","ID"
417,58,2017,"Louisiana State University - Baton Rouge","SEC","LA"
938,58,2019,"University of Central Florida","AAC","FL"
676,58,2018,"University of Colorado Boulder","PAC-12","CO"
158,58,2016,"University of Maryland, College Park","Big Ten","MD"
158,58,2016,"University of Maryland, College Park","Big Ten","MD"
158,58,2016,"University of Maryland, College Park","Big Ten","MD"
158,58,2016,"University of Maryland, College Park","Big Ten","MD"
1199,59,2020,"Baylor University","Big 12","TX"
159,59,2016,"Florida State University","ACC","FL"
677,59,2018,"Louisiana State University - Baton Rouge","SEC","LA"
939,59,2019,"Ohio State University","Big Ten","OH"
678,60,2018,"Oklahoma State University","Big 12","OK"
160,60,2016,"The University of Alabama","SEC","AL"
419,60,2017,"University of Colorado Boulder","PAC-12","CO"
940,60,2019,"University of Delaware","CAA","DE"
1200,60,2020,"University of Michigan-Ann Arbor","Big Ten","MI"
1201,61,2020,"Louisiana State University - Baton Rouge","SEC","LA"
679,61,2018,"Louisiana State University - Baton Rouge","SEC","LA"
420,61,2017,"North Carolina State University - Raleigh","ACC","NC"
161,61,2016,"Ohio State University","Big Ten","OH"
941,61,2019,"University of Washington","PAC-12","WA"
941,61,2019,"University of Washington","PAC-12","WA"
941,61,2019,"University of Washington","PAC-12","WA"
941,61,2019,"University of Washington","PAC-12","WA"
941,61,2019,"University of Washington","PAC-12","WA"
1202,62,2020,"Boston College","ACC","MA"
162,62,2016,"Samford University","SoCon","AL"
942,62,2019,"University of Massachusetts Amherst","Independent","NE"
942,62,2019,"University of Massachusetts Amherst","Independent","NE"
942,62,2019,"University of Massachusetts Amherst","Independent","NE"
942,62,2019,"University of Massachusetts Amherst","Independent","NE"
680,62,2018,"University of Pittsburgh","ACC","PA"
421,62,2017,"University of South Carolina","SEC","SC"
681,63,2018,"Auburn University","SEC","AL"
