player_id,Pick,Round,Year,College,Conference,State,Coeficient
980,99,3,2019,University of Kentucky,SEC,KY,4
1240,99,3,2020,Central Connecticut State University,NEC,CT,4
202,100,4,2016,Michigan State University,Big Ten,MI,4
460,100,3,2017,Florida International University,C-USA,FL,4
719,100,3,2018,Clemson University,ACC,SC,4
981,100,3,2019,West Virginia University,Big 12,WV,4
1241,100,3,2020,Clemson University,ACC,SC,4
203,101,4,2016,University of Oklahoma,Big 12,OK,4
461,101,3,2017,Lamar University,WAC,TX,4
721,101,4,2018,Indiana State University,MVFC,IN,4
982,101,3,2019,West Virginia University,Big 12,WV,4
1242,101,3,2020,Virginia Polytechnic Institute and State University,ACC,VA,4
204,102,4,2016,Ohio State University,Big Ten,OH,4
462,102,3,2017,University of North Carolina at Greensboro,SoCon,NC,4
722,102,4,2018,Ohio State University,Big Ten,OH,4
983,102,3,2019,Boise State University,MW,ID,4
1243,102,3,2020,University of North Carolina at Charlotte,C-USA,NC,4
205,103,4,2016,University of Notre Dame,ACC,IN,4
